mode,qtype,gold,pred,correct
closed,bus,no,no,1
distractor,bus,no,no,1
oracle,bus,no,yes,0
closed,bus,no,no,1
distractor,bus,no,no,1
oracle,bus,no,no,1
closed,bus,no,no,1
distractor,bus,no,yes,0
oracle,bus,no,yes,0
closed,bus,no,no,1
distractor,bus,no,yes,0
oracle,bus,no,no,1
closed,bus,no,no,1
distractor,bus,no,no,1
oracle,bus,no,no,1
closed,bus,no,no,1
distractor,bus,no,no,1
oracle,bus,no,no,1
closed,bus,no,no,1
distractor,bus,no,yes,0
oracle,bus,no,no,1
closed,bus,no,no,1
distractor,bus,no,no,1
oracle,bus,no,yes,0
closed,bus,no,no,1
distractor,bus,no,yes,0
oracle,bus,no,yes,0
closed,bus,no,no,1
distractor,bus,no,yes,0
oracle,bus,no,yes,0
closed,bus,no,no,1
distractor,bus,no,yes,0
oracle,bus,no,yes,0
closed,bus,no,no,1
distractor,bus,no,yes,0
oracle,bus,no,no,1
closed,stopped,yes,yes,1
distractor,stopped,yes,yes,1
oracle,stopped,yes,yes,1
closed,stopped,yes,yes,1
distractor,stopped,yes,yes,1
oracle,stopped,yes,yes,1
closed,stopped,yes,yes,1
distractor,stopped,yes,yes,1
oracle,stopped,yes,yes,1
closed,stopped,yes,yes,1
distractor,stopped,yes,yes,1
oracle,stopped,yes,yes,1
closed,stopped,yes,yes,1
distractor,stopped,yes,yes,1
oracle,stopped,yes,yes,1
closed,stopped,yes,yes,1
distractor,stopped,yes,yes,1
oracle,stopped,yes,yes,1
closed,stopped,yes,yes,1
distractor,stopped,yes,yes,1
oracle,stopped,yes,yes,1
closed,stopped,yes,yes,1
distractor,stopped,yes,yes,1
oracle,stopped,yes,yes,1
closed,stopped,yes,yes,1
distractor,stopped,yes,yes,1
oracle,stopped,yes,yes,1
closed,stopped,yes,yes,1
distractor,stopped,yes,yes,1
oracle,stopped,yes,yes,1
closed,stopped,yes,yes,1
distractor,stopped,yes,yes,1
oracle,stopped,yes,yes,1
closed,stopped,yes,yes,1
distractor,stopped,yes,yes,1
oracle,stopped,yes,yes,1
closed,stopped,yes,yes,1
distractor,stopped,yes,yes,1
oracle,stopped,yes,yes,1
closed,stopped,yes,yes,1
distractor,stopped,yes,yes,1
oracle,stopped,yes,yes,1
closed,stopped,yes,yes,1
distractor,stopped,yes,yes,1
oracle,stopped,yes,yes,1
closed,stopped,no,yes,0
distractor,stopped,no,yes,0
oracle,stopped,no,yes,0
closed,stopped,no,yes,0
distractor,stopped,no,yes,0
oracle,stopped,no,yes,0
closed,stopped,no,yes,0
distractor,stopped,no,yes,0
oracle,stopped,no,yes,0
closed,stopped,no,yes,0
distractor,stopped,no,yes,0
oracle,stopped,no,yes,0
closed,stopped,no,yes,0
distractor,stopped,no,yes,0
oracle,stopped,no,yes,0
closed,stopped,no,yes,0
distractor,stopped,no,yes,0
oracle,stopped,no,yes,0
closed,stopped,no,yes,0
distractor,stopped,no,yes,0
oracle,stopped,no,yes,0
closed,stopped,no,yes,0
distractor,stopped,no,yes,0
oracle,stopped,no,yes,0
closed,stopped,no,yes,0
distractor,stopped,no,yes,0
oracle,stopped,no,yes,0
closed,stopped,no,yes,0
distractor,stopped,no,yes,0
oracle,stopped,no,yes,0
closed,stopped,no,yes,0
distractor,stopped,no,yes,0
oracle,stopped,no,yes,0
closed,stopped,no,yes,0
distractor,stopped,no,yes,0
oracle,stopped,no,yes,0
closed,stopped,no,yes,0
distractor,stopped,no,yes,0
oracle,stopped,no,yes,0
closed,stopped,no,yes,0
distractor,stopped,no,yes,0
oracle,stopped,no,yes,0
closed,stopped,no,yes,0
distractor,stopped,no,yes,0
oracle,stopped,no,yes,0
closed,stopped,no,yes,0
distractor,stopped,no,yes,0
oracle,stopped,no,yes,0
closed,stopped,no,yes,0
distractor,stopped,no,yes,0
oracle,stopped,no,yes,0
closed,stopped,no,yes,0
distractor,stopped,no,yes,0
oracle,stopped,no,yes,0
closed,stopped,no,yes,0
distractor,stopped,no,yes,0
oracle,stopped,no,yes,0
closed,stopped,no,yes,0
distractor,stopped,no,yes,0
oracle,stopped,no,yes,0
closed,stopped,no,yes,0
distractor,stopped,no,yes,0
oracle,stopped,no,yes,0
closed,stopped,no,yes,0
distractor,stopped,no,yes,0
oracle,stopped,no,yes,0
closed,stopped,no,yes,0
distractor,stopped,no,yes,0
oracle,stopped,no,yes,0
closed,stopped,no,yes,0
distractor,stopped,no,yes,0
oracle,stopped,no,yes,0
closed,bikes,yes,no,0
distractor,bikes,yes,no,0
oracle,bikes,yes,yes,1
closed,bikes,yes,no,0
distractor,bikes,yes,yes,1
oracle,bikes,yes,yes,1
closed,bikes,yes,no,0
distractor,bikes,yes,yes,1
oracle,bikes,yes,yes,1
closed,bikes,yes,no,0
distractor,bikes,yes,yes,1
oracle,bikes,yes,yes,1
closed,bikes,yes,no,0
distractor,bikes,yes,no,0
oracle,bikes,yes,yes,1
closed,bikes,yes,no,0
distractor,bikes,yes,yes,1
oracle,bikes,yes,yes,1
closed,bikes,yes,no,0
distractor,bikes,yes,yes,1
oracle,bikes,yes,no,0
closed,bikes,yes,no,0
distractor,bikes,yes,no,0
oracle,bikes,yes,yes,1
closed,bikes,yes,no,0
distractor,bikes,yes,no,0
oracle,bikes,yes,yes,1
closed,bikes,yes,no,0
distractor,bikes,yes,yes,1
oracle,bikes,yes,yes,1
closed,bikes,yes,no,0
distractor,bikes,yes,no,0
oracle,bikes,yes,yes,1
closed,bikes,yes,no,0
distractor,bikes,yes,yes,1
oracle,bikes,yes,yes,1
closed,bikes,yes,no,0
distractor,bikes,yes,no,0
oracle,bikes,yes,no,0
closed,bikes,yes,no,0
distractor,bikes,yes,no,0
oracle,bikes,yes,yes,1
closed,bikes,yes,no,0
distractor,bikes,yes,yes,1
oracle,bikes,yes,yes,1
closed,bikes,yes,no,0
distractor,bikes,yes,yes,1
oracle,bikes,yes,yes,1
closed,bikes,yes,no,0
distractor,bikes,yes,yes,1
oracle,bikes,yes,yes,1
closed,bikes,yes,no,0
distractor,bikes,yes,yes,1
oracle,bikes,yes,yes,1
closed,bikes,yes,no,0
distractor,bikes,yes,no,0
oracle,bikes,yes,yes,1
closed,bikes,yes,no,0
distractor,bikes,yes,yes,1
oracle,bikes,yes,yes,1
closed,bikes,yes,no,0
distractor,bikes,yes,yes,1
oracle,bikes,yes,yes,1
closed,bikes,yes,no,0
distractor,bikes,yes,yes,1
oracle,bikes,yes,yes,1
closed,bikes,yes,no,0
distractor,bikes,yes,yes,1
oracle,bikes,yes,yes,1
closed,bikes,yes,no,0
distractor,bikes,yes,no,0
oracle,bikes,yes,yes,1
closed,bikes,yes,no,0
distractor,bikes,yes,yes,1
oracle,bikes,yes,yes,1
closed,bikes,yes,no,0
distractor,bikes,yes,yes,1
oracle,bikes,yes,yes,1
closed,bikes,yes,no,0
distractor,bikes,yes,yes,1
oracle,bikes,yes,yes,1
closed,bikes,no,no,1
distractor,bikes,no,no,1
oracle,bikes,no,yes,0
closed,bikes,no,no,1
distractor,bikes,no,no,1
oracle,bikes,no,yes,0
closed,bikes,no,no,1
distractor,bikes,no,no,1
oracle,bikes,no,no,1
closed,bikes,no,no,1
distractor,bikes,no,no,1
oracle,bikes,no,no,1
closed,bikes,no,no,1
distractor,bikes,no,yes,0
oracle,bikes,no,yes,0
closed,bikes,no,no,1
distractor,bikes,no,yes,0
oracle,bikes,no,yes,0
closed,bikes,no,no,1
distractor,bikes,no,no,1
oracle,bikes,no,yes,0
closed,bikes,no,no,1
distractor,bikes,no,no,1
oracle,bikes,no,no,1
closed,bikes,no,no,1
distractor,bikes,no,yes,0
oracle,bikes,no,yes,0
closed,bikes,no,no,1
distractor,bikes,no,yes,0
oracle,bikes,no,no,1
closed,bikes,no,no,1
distractor,bikes,no,yes,0
oracle,bikes,no,no,1
closed,bikes,no,no,1
distractor,bikes,no,no,1
oracle,bikes,no,no,1
closed,bikes,no,no,1
distractor,bikes,no,yes,0
oracle,bikes,no,yes,0
closed,bikes,no,no,1
distractor,bikes,no,yes,0
oracle,bikes,no,no,1
closed,bikes,no,no,1
distractor,bikes,no,yes,0
oracle,bikes,no,yes,0
closed,bikes,no,no,1
distractor,bikes,no,yes,0
oracle,bikes,no,yes,0
closed,bikes,no,no,1
distractor,bikes,no,no,1
oracle,bikes,no,yes,0
closed,bikes,no,no,1
distractor,bikes,no,yes,0
oracle,bikes,no,no,1
closed,bikes,no,no,1
distractor,bikes,no,no,1
oracle,bikes,no,yes,0
closed,bikes,no,no,1
distractor,bikes,no,yes,0
oracle,bikes,no,no,1
closed,bikes,no,no,1
distractor,bikes,no,yes,0
oracle,bikes,no,no,1
closed,bikes,no,no,1
distractor,bikes,no,yes,0
oracle,bikes,no,no,1
closed,bikes,no,no,1
distractor,bikes,no,yes,0
oracle,bikes,no,no,1
